Mandarin,Pinyin,English,Pinyin/English
努力 ,nǔlì  ,effort ,nǔlì  effort 
帮忙 ,bāngmáng  ,help,bāngmáng  help
留下 ,liúxià  ,leave ,liúxià  leave 
同意 ,tóngyì  ,agree ,tóngyì  agree 
参加 ,cānjiā  ,join ,cānjiā  join 
赢 ,yíng  ,win,yíng  win
死亡 ,sǐwáng  ,die ,sǐwáng  die 
每 ,měi  ,every ,měi  every 
上面 ,shàngmiàn  ,above ,shàngmiàn  above 
结果 ,jiéguǒ  ,result ,jiéguǒ  result 
消息 ,xiāoxi  ,information ,xiāoxi  information 
要求 ,yāoqiú  ,require ,yāoqiú  require 
理解 ,lǐjiě  ,understand ,lǐjiě  understand 
曾经 ,céngjīng  ,once ,céngjīng  once 
打开 ,dǎkāi  ,open ,dǎkāi  open 
收到 ,shōudào  ,receive ,shōudào  receive 
照顾 ,zhàogu  ,take care of ,zhàogu  take care of 
人类 ,rénlèi  ,human,rénlèi  human
主意 ,zhǔyi  ,idea,zhǔyi  idea
保持 ,bǎochí  ,keep ,bǎochí  keep 
成 ,chéng  ,become ,chéng  become 
杰克 ,jiékè  ,jack,jiékè  jack
存在 ,cúnzài  ,exist ,cúnzài  exist 
进 ,jìn  ,enter ,jìn  enter 
高 ,gāo  ,high ,gāo  high 
晚安 ,wǎnān  ,good night ,wǎnān  good night 
确实 ,quèshí  ,really ,quèshí  really 
全部 ,quánbù  ,all ,quánbù  all 
靠 ,kào  ,depend on ,kào  depend on 
呆 ,dāi  ,stay,dāi  stay
起 ,qǐ  ,rise ,qǐ  rise 
謝謝 ,xièxie  ,thank you ,xièxie  thank you 
讨厌 ,tǎoyàn  ,hate ,tǎoyàn  hate 
俩 ,liǎ  ,two,liǎ  two
硂 ,硂  ,炂,硂  炂
突然 ,tūrán  ,sudden ,tūrán  sudden 
多久 ,duōjiǔ  ,how long ,duōjiǔ  how long 
老婆 ,lǎopó  ,wife,lǎopó  wife
不再 ,bùzài  ,no more,bùzài  no more
任何人 ,rènhérén  ,anyone,rènhérén  anyone
开玩笑 ,kāiwánxiào  ,joke ,kāiwánxiào  joke 
放在 ,fàngzài  ,put on,fàngzài  put on
τ ,τ  ,τ,τ  τ
那個 ,nàgè  ,that,nàgè  that
进入 ,jìnrù  ,enter ,jìnrù  enter 
父母 ,fùmǔ  ,parents ,fùmǔ  parents 
总统 ,zǒngtǒng  ,president ,zǒngtǒng  president 
伤害 ,shānghài  ,harm ,shānghài  harm 
時候 ,shíhou  ,time,shíhou  time
回答 ,huídá  ,answer ,huídá  answer 
一位 ,yīwèi  ,one person,yīwèi  one person
三个 ,sānge  ,three,sānge  three
所有人 ,suǒyǒurén  ,everyone,suǒyǒurén  everyone
老师 ,lǎoshī  ,teacher ,lǎoshī  teacher 
早 ,zǎo  ,morning ,zǎo  morning 
除了 ,chúle  ,apart from ,chúle  apart from 
派 ,pài  ,group ,pài  group 
咱们 ,zánmen  ,we,zánmen  we
自由 ,zìyóu  ,free ,zìyóu  free 
可爱 ,kěài  ,cute ,kěài  cute 
日 ,rì  ,day ,rì  day 
抓住 ,zhuāzhù  ,catch ,zhuāzhù  catch 
路 ,lù  ,road ,lù  road 
谈 ,tán  ,talk,tán  talk
简单 ,jiǎndān  ,simple ,jiǎndān  simple 
身体 ,shēntǐ  ,body ,shēntǐ  body 
想法 ,xiǎngfǎ  ,idea ,xiǎngfǎ  idea 
早上 ,zǎoshang  ,morning ,zǎoshang  morning 
這麼 ,zhème  ,so,zhème  so
ﺍ ,ﺍ  ,ﺍ,ﺍ  ﺍ
能够 ,nénggòu  ,able,nénggòu  able
昨晚 ,zuówǎn  ,last night ,zuówǎn  last night 
哥哥 ,gēge  ,elder brother ,gēge  elder brother 
我爱你 ,wǒàinǐ  ,i love you ,wǒàinǐ  i love you 
跳 ,tiào  ,jump ,tiào  jump 
秘密 ,mìmì  ,secret ,mìmì  secret 
休息 ,xiūxi  ,rest ,xiūxi  rest 
战争 ,zhànzhēng  ,war,zhànzhēng  war
其中 ,qízhōng  ,in ,qízhōng  in 
内 ,nèi  ,inside ,nèi  inside 
医院 ,yīyuàn  ,hospital ,yīyuàn  hospital 
每天 ,měitiān  ,every day ,měitiān  every day 
之间 ,zhījiān  ,between,zhījiān  between
大概 ,dàgài  ,perhaps ,dàgài  perhaps 
控制 ,kòngzhì  ,control ,kòngzhì  control 
刚 ,gāng  ,just ,gāng  just 
小孩 ,xiǎohái  ,child ,xiǎohái  child 
带来 ,dàilái  ,bring,dàilái  bring
停止 ,tíngzhǐ  ,stop ,tíngzhǐ  stop 
因此 ,yīncǐ  ,therefore ,yīncǐ  therefore 
花 ,huā  ,flower ,huā  flower 
证明 ,zhèngmíng  ,prove ,zhèngmíng  prove 
约翰 ,yuēhàn  ,john,yuēhàn  john
飞机 ,fēijī  ,airplane ,fēijī  airplane 
替 ,tì  ,replace,tì  replace
解释 ,jiěshì  ,explain ,jiěshì  explain 
律师 ,lǜshī  ,lawyer ,lǜshī  lawyer 
终于 ,zhōngyú  ,finally ,zhōngyú  finally 
耶 ,yē  ,yeah ,yē  yeah 
翻译 ,fānyì  ,translate ,fānyì  translate 
调查 ,diàochá  ,investigation ,diàochá  investigation 
告訴 ,gàosu  ,tell,gàosu  tell
为何 ,wèihé  ,why,wèihé  why
留在 ,liúzài  ,stay,liúzài  stay
糟糕 ,zāogāo  ,oops ,zāogāo  oops 
任务 ,rènwu  ,task ,rènwu  task 
武器 ,wǔqì  ,weapons,wǔqì  weapons
家里 ,jiālǐ  ,at home,jiālǐ  at home
头 ,tóu  ,head ,tóu  head 
来自 ,láizì  ,from,láizì  from
小子 ,xiǎozi  ,boy,xiǎozi  boy
来到 ,láidào  ,come,láidào  come
解决 ,jiějué  ,solve ,jiějué  solve 
其他人 ,qítārén  ,others,qítārén  others
家人 ,jiārén  ,family ,jiārén  family 
坐下 ,zuòxia  ,sit down ,zuòxia  sit down 
怕 ,pà  ,afraid ,pà  afraid 
直接 ,zhíjiē  ,direct ,zhíjiē  direct 
办公室 ,bàngōngshì  ,office ,bàngōngshì  office 
停 ,tíng  ,stop ,tíng  stop 
放弃 ,fàngqì  ,give up ,fàngqì  give up 
鬼 ,guǐ  ,ghost ,guǐ  ghost 
別 ,bié  ,don't,bié  don't
加油 ,jiāyóu  ,come on ,jiāyóu  come on 
方法 ,fāngfǎ  ,method ,fāngfǎ  method 
游戏 ,yóuxì  ,game ,yóuxì  game 
即使 ,jíshǐ  ,even though ,jíshǐ  even though 
本 ,běn  ,book ,běn  book 
年轻 ,niánqīng  ,young ,niánqīng  young 
大人 ,dàrén  ,grown ups ,dàrén  grown ups 
使用 ,shǐyòng  ,use ,shǐyòng  use 
卖 ,mài  ,sell ​​,mài  sell ​​
老板 ,lǎobǎn  ,boss ,lǎobǎn  boss 
水 ,shuǐ  ,water ,shuǐ  water 
想想 ,xiǎngxiang  ,think about it,xiǎngxiang  think about it
坐在 ,zuòzài  ,sit,zuòzài  sit
目标 ,mùbiāo  ,target ,mùbiāo  target 
变得 ,biànde  ,become,biànde  become
可怕 ,kěpà  ,horrible ,kěpà  horrible 
拿到 ,nádào  ,get,nádào  get
考虑 ,kǎolǜ  ,consider ,kǎolǜ  consider 
个人 ,gèrén  ,personal ,gèrén  personal 
开枪 ,kāiqiāng  ,shoot,kāiqiāng  shoot
哭 ,kū  ,cry ,kū  cry 
睡觉 ,shuìjiào  ,sleep ,shuìjiào  sleep 
請 ,qǐng  ,please ,qǐng  please 
分钟 ,fēnzhōng  ,minute ,fēnzhōng  minute 
想到 ,xiǎngdào  ,think of,xiǎngdào  think of
等待 ,děngdài  ,wait ,děngdài  wait 
音乐 ,yīnyuè  ,music ,yīnyuè  music 
再说 ,zàishuō  ,say it again,zàishuō  say it again
聪明 ,cōngming  ,clever ,cōngming  clever 
姑娘 ,gūniang  ,girl,gūniang  girl
地球 ,dìqiú  ,earth ,dìqiú  earth 
感谢 ,gǎnxiè  ,grateful ,gǎnxiè  grateful 
命令 ,mìnglìng  ,order ,mìnglìng  order 
阻止 ,zǔzhǐ  ,prevent ,zǔzhǐ  prevent 
一只 ,yīzhī  ,one,yīzhī  one
消失 ,xiāoshī  ,disappear ,xiāoshī  disappear 
喜歡 ,xǐhuan  ,like ,xǐhuan  like 
心 ,xīn  ,heart ,xīn  heart 
第 ,dì  ,no.,dì  no.
冷静 ,lěngjìng  ,calm ,lěngjìng  calm 
似乎 ,sìhū  ,it seems,sìhū  it seems
联系 ,liánxì  ,connect ,liánxì  connect 
家庭 ,jiātíng  ,family ,jiātíng  family 
痛苦 ,tòngkǔ  ,pain ,tòngkǔ  pain 
城市 ,chéngshì  ,city ,chéngshì  city 
力量 ,lìliang  ,strength ,lìliang  strength 
对于 ,duìyú  ,for,duìyú  for
未来 ,wèilái  ,future ,wèilái  future 
男孩 ,nánhái  ,boy ,nánhái  boy 
三 ,sān  ,three ,sān  three 
博士 ,bóshì  ,phd ,bóshì  phd 
姐姐 ,jiějie  ,elder sister ,jiějie  elder sister 
疯狂 ,fēngkuáng  ,crazy ,fēngkuáng  crazy 
报告 ,bàogào  ,report ,bàogào  report 
放下 ,fàngxià  ,lay down ,fàngxià  lay down 
昨天 ,zuótiān  ,yesterday ,zuótiān  yesterday 
那天 ,nàtiān  ,that day,nàtiān  that day
還有 ,háiyǒu  ,and ,háiyǒu  and 
完美 ,wánměi  ,perfect ,wánměi  perfect 
答应 ,dāying  ,promise ,dāying  promise 
证据 ,zhèngjù  ,evidence ,zhèngjù  evidence 
本来 ,běnlái  ,originally,běnlái  originally
负责 ,fùzé  ,responsible ,fùzé  responsible 
检查 ,jiǎnchá  ,examine ,jiǎnchá  examine 
見 ,jiàn  ,see,jiàn  see
已經 ,yǐjīng  ,already ,yǐjīng  already 
一条 ,yītiáo  ,one piece,yītiáo  one piece
厉害 ,lìhai  ,sharp ,lìhai  sharp 
拥有 ,yōngyǒu  ,own,yōngyǒu  own
正常 ,zhèngcháng  ,normal ,zhèngcháng  normal 
并且 ,bìngqiě  ,and,bìngqiě  and
否则 ,fǒuzé  ,otherwise,fǒuzé  otherwise
該 ,gāi  ,the,gāi  the
以及 ,yǐjí  ,as well as ,yǐjí  as well as 
重新 ,chóngxīn  ,again ,chóngxīn  again 
忘记 ,wàngjì  ,forget ,wàngjì  forget 
这位 ,zhèwèi  ,this one,zhèwèi  this one
研究 ,yánjiū  ,research ,yánjiū  research 
附近 ,fùjìn  ,nearby ,fùjìn  nearby 
不然 ,bùrán  ,otherwise ,bùrán  otherwise 
太棒了 ,tàibàngle  ,marvelous ,tàibàngle  marvelous 
很棒 ,hěnbàng  ,great ,hěnbàng  great 
方正 ,fāngzhèng  ,founder,fāngzhèng  founder
字幕 ,zìmù  ,subtitle ,zìmù  subtitle 
脸 ,liǎn  ,face ,liǎn  face 
者 ,zhě  ,who,zhě  who
加入 ,jiārù  ,join in ,jiārù  join in 
於 ,yú  ,at,yú  at
唱 ,chàng  ,sing ,chàng  sing 
反正 ,fǎnzhèng  ,anyway,fǎnzhèng  anyway
不该 ,bùgāi  ,shouldn't,bùgāi  shouldn't
政府 ,zhèngfǔ  ,government ,zhèngfǔ  government 
快乐 ,kuàilè  ,hapiness ,kuàilè  hapiness 
身边 ,shēnbiān  ,around,shēnbiān  around
遇到 ,yùdào  ,meet ,yùdào  meet 
這裡 ,zhèlǐ  ,here,zhèlǐ  here
伟大 ,wěidà  ,great,wěidà  great
咖啡 ,kāfēi  ,coffee ,kāfēi  coffee 
接 ,jiē  ,catch ,jiē  catch 
仍然 ,réngrán  ,still ,réngrán  still 
门 ,mén  ,door ,mén  door 
开车 ,kāichē  ,drive ,kāichē  drive 
代表 ,dàibiǎo  ,represent ,dàibiǎo  represent 
陪 ,péi  ,accompany ,péi  accompany 
若 ,ruò  ,like ,ruò  like 
尸体 ,shītǐ  ,corpse,shītǐ  corpse
比较 ,bǐjiào  ,compare ,bǐjiào  compare 
一年 ,yīnián  ,one year,yīnián  one year
紧张 ,jǐnzhāng  ,nervous ,jǐnzhāng  nervous 
监狱 ,jiānyù  ,prison ,jiānyù  prison 
位置 ,wèizhi  ,location ,wèizhi  location 
随便 ,suíbiàn  ,casual ,suíbiàn  casual 
偷 ,tōu  ,steal ,tōu  steal 
安排 ,ānpái  ,arrange ,ānpái  arrange 
錢 ,qián  ,money ,qián  money 
表演 ,biǎoyǎn  ,performance ,biǎoyǎn  performance 
从没 ,cóngméi  ,never,cóngméi  never
除非 ,chúfēi  ,unless ,chúfēi  unless 
屁股 ,pìgu  ,ass,pìgu  ass
這些 ,zhèxiē  ,these,zhèxiē  these
酒 ,jiǔ  ,liquor ,jiǔ  liquor 
恩 ,ēn  ,kindness ,ēn  kindness 
老兄 ,lǎoxiōng  ,dude,lǎoxiōng  dude
支持 ,zhīchí  ,support ,zhīchí  support 
必要 ,bìyào  ,necessary,bìyào  necessary
人生 ,rénshēng  ,life ,rénshēng  life 
正确 ,zhèngquè  ,correct ,zhèngquè  correct 
跟着 ,gēnzhe  ,follow,gēnzhe  follow
杀死 ,shāsǐ  ,kill,shāsǐ  kill
交给 ,jiāogěi  ,hand over,jiāogěi  hand over
叔叔 ,shūshu  ,uncle ,shūshu  uncle 
還是 ,háishi  ,still,háishi  still
食物 ,shíwù  ,food ,shíwù  food 
事实 ,shìshí  ,facts,shìshí  facts
简直 ,jiǎnzhí  ,simply,jiǎnzhí  simply
安静 ,ānjìng  ,quiet ,ānjìng  quiet 
离 ,lí  ,leave ,lí  leave 
一场 ,yīcháng  ,one game,yīcháng  one game
妹妹 ,mèimei  ,younger sister ,mèimei  younger sister 
斯 ,sī  ,sri lanka,sī  sri lanka
美丽 ,měilì  ,beauty ,měilì  beauty 
再次 ,zàicì  ,again ,zàicì  again 
案子 ,ànzi  ,case,ànzi  case
下面 ,xiàmiàn  ,under ,xiàmiàn  under 
不够 ,bùgòu  ,not enough,bùgòu  not enough
哈 ,hā  ,ha ,hā  ha 
可怜 ,kělián  ,pitiful ,kělián  pitiful 
教 ,jiào  ,teach ,jiào  teach 
殺 ,shā  ,kill,shā  kill
首先 ,shǒuxiān  ,first ,shǒuxiān  first 
另外 ,lìngwài  ,in addition ,lìngwài  in addition 
提供 ,tígōng  ,supply ,tígōng  supply 
记住 ,jìzhu  ,remember,jìzhu  remember
听见 ,tīngjiàn  ,hear,tīngjiàn  hear
信 ,xìn  ,letter ,xìn  letter 
国王 ,guówáng  ,king,guówáng  king
面前 ,miànqián  ,in front of,miànqián  in front of
几乎 ,jīhū  ,almost,jīhū  almost
日子 ,rìzi  ,days,rìzi  days
那麼 ,nàme  ,then,nàme  then
舒服 ,shūfu  ,comfortable ,shūfu  comfortable 
原来 ,yuánlái  ,turn out to be ,yuánlái  turn out to be 
再也 ,zàiyě  ,never again,zàiyě  never again
操 ,cāo  ,hold ,cāo  hold 
纽约 ,niǔyuē  ,new york ,niǔyuē  new york 
早就 ,zǎojiù  ,long ago,zǎojiù  long ago
逼 ,bī  ,force,bī  force
有关 ,yǒuguān  ,related to,yǒuguān  related to
放开 ,fàngkāi  ,let go,fàngkāi  let go
信息 ,xìnxī  ,information ,xìnxī  information 
星期 ,xīngqī  ,week ,xīngqī  week 
不得不 ,bùdébù  ,have to,bùdébù  have to
发誓 ,fāshì  ,swear,fāshì  swear
钥匙 ,yàoshi  ,key ,yàoshi  key 
错误 ,cuòwù  ,mistake ,cuòwù  mistake 
放松 ,fàngsōng  ,relax ,fàngsōng  relax 
约会 ,yuēhuì  ,dating ,yuēhuì  dating 
船 ,chuán  ,boat ,chuán  boat 
打扰 ,dǎrǎo  ,disturb ,dǎrǎo  disturb 
女 ,nǚ  ,female ,nǚ  female 
手机 ,shǒujī  ,cell phone ,shǒujī  cell phone 
二 ,èr  ,two ,èr  two 
很大 ,hěndà  ,very big,hěndà  very big
到处 ,dàochù  ,everywhere,dàochù  everywhere
攻击 ,gōngjī  ,attack,gōngjī  attack
一份 ,yífèn  ,one serving,yífèn  one serving
第一 ,dìyī  ,first ,dìyī  first 
建议 ,jiànyì  ,suggestion ,jiànyì  suggestion 
日本 ,rìběn  ,japan,rìběn  japan
理由 ,lǐyóu  ,reason,lǐyóu  reason
事实上 ,shìshíshàng  ,in fact,shìshíshàng  in fact
一樣 ,yīyàng  ,same ,yīyàng  same 
阿 ,ā  ,a,ā  a
跳舞 ,tiàowǔ  ,dance ,tiàowǔ  dance 
生气 ,shēngqì  ,angry ,shēngqì  angry 
久 ,jiǔ  ,long ,jiǔ  long 
试试 ,shìshi  ,try,shìshi  try
信任 ,xìnrèn  ,trust ,xìnrèn  trust 
此 ,cǐ  ,this ,cǐ  this 
看过 ,kànguò  ,saw it,kànguò  saw it
差不多 ,chàbuduō  ,almost ,chàbuduō  almost 
原谅 ,yuánliàng  ,forgive ,yuánliàng  forgive 
神 ,shén  ,god ,shén  god 
经常 ,jīngcháng  ,often ,jīngcháng  often 
的确 ,díquè  ,indeed ,díquè  indeed 
ㄓ ,ㄓ  ,ㄓ,ㄓ  ㄓ
之一 ,zhīyī  ,one of,zhīyī  one of
幸福 ,xìngfú  ,happiness ,xìngfú  happiness 
哎 ,āi  ,why ,āi  why 
便 ,biàn  ,convenient,biàn  convenient
马 ,mǎ  ,horse ,mǎ  horse 
算 ,suàn  ,calculate ,suàn  calculate 
吃饭 ,chīfàn  ,have a meal ,chīfàn  have a meal 
璶 ,璶  ,jade,璶  jade
正是 ,zhèngshì  ,exactly,zhèngshì  exactly
不必 ,bùbì  ,no need,bùbì  no need
最大 ,zuìdà  ,maximum,zuìdà  maximum
幸运 ,xìngyùn  ,lucky ,xìngyùn  lucky 
丢 ,diū  ,leave ,diū  leave 
我家 ,wǒjiā  ,my home,wǒjiā  my home
問題 ,wèntí  ,problem ,wèntí  problem 
长 ,cháng  ,long ,cháng  long 
東西 ,dōngxi  ,something,dōngxi  something
住手 ,zhùshǒu  ,stop,zhùshǒu  stop
动物 ,dòngwù  ,animal ,dòngwù  animal 
弟弟 ,dìdi  ,younger brother ,dìdi  younger brother 
道歉 ,dàoqiàn  ,apologize ,dàoqiàn  apologize 
严重 ,yánzhòng  ,serious ,yánzhòng  serious 
人家 ,rénjiā  ,people,rénjiā  people
坚持 ,jiānchí  ,persist in ,jiānchí  persist in 
想象 ,xiǎngxiàng  ,imagine,xiǎngxiàng  imagine
按 ,àn  ,according to ,àn  according to 
礼物 ,lǐwù  ,gift ,lǐwù  gift 
每次 ,měicì  ,every time ,měicì  every time 
将军 ,jiāngjūn  ,general,jiāngjūn  general
剩下 ,shèngxià  ,remain ,shèngxià  remain 
有事 ,yǒushì  ,something happened,yǒushì  something happened
老爸 ,lǎobà  ,dad,lǎobà  dad
幫 ,bāng  ,help,bāng  help
系统 ,xìtǒng  ,system ,xìtǒng  system 
全都 ,quándōu  ,all,quándōu  all
组织 ,zǔzhī  ,organize ,zǔzhī  organize 
我會 ,wǒhuì  ,i will,wǒhuì  i will
敌人 ,dírén  ,enemy ,dírén  enemy 
看上去 ,kànshangqu  ,it seems,kànshangqu  it seems
應該 ,yīnggāi  ,should ,yīnggāi  should 
老天 ,lǎotiān  ,god,lǎotiān  god
ê ,ê  ,ê,ê  ê
认真 ,rènzhēn  ,serious ,rènzhēn  serious 
分 ,fēn  ,point ,fēn  point 
书 ,shū  ,book ,shū  book 
往 ,wǎng  ,past ,wǎng  past 
关心 ,guānxīn  ,care ,guānxīn  care 
坏 ,huài  ,bad ,huài  bad 
骗 ,piàn  ,cheat ,piàn  cheat 
中国 ,zhōngguó  ,china ,zhōngguó  china 
生意 ,shēngyi  ,business ,shēngyi  business 
上去 ,shàngqu  ,go up,shàngqu  go up
值得 ,zhíde  ,worth ,zhíde  worth 
搞定 ,gǎodìng  ,done,gǎodìng  done
寻找 ,xúnzhǎo  ,looking for,xúnzhǎo  looking for
派对 ,pàiduì  ,party,pàiduì  party
许多 ,xǔduō  ,many ,xǔduō  many 
学生 ,xuésheng  ,student ,xuésheng  student 
查理 ,chálǐ  ,charlie,chálǐ  charlie
下次 ,xiàcì  ,next time ,xiàcì  next time 
通知 ,tōngzhī  ,notify ,tōngzhī  notify 
救命 ,jiùmìng  ,help ,jiùmìng  help 
表现 ,biǎoxiàn  ,performance ,biǎoxiàn  performance 
利用 ,lìyòng  ,take advantage of,lìyòng  take advantage of
受伤 ,shòushāng  ,injuried ,shòushāng  injuried 
后来 ,hòulái  ,later,hòulái  later
早上好 ,zǎoshanghǎo  ,good morning ,zǎoshanghǎo  good morning 
精神 ,jīngshén  ,spirit ,jīngshén  spirit 
居然 ,jūrán  ,actually,jūrán  actually
受到 ,shòudào  ,receive,shòudào  receive
大学 ,dàxué  ,university ,dàxué  university 
那时 ,nàshí  ,at that time,nàshí  at that time
既然 ,jìrán  ,now that ,jìrán  now that 
几天 ,jǐtiān  ,few days,jǐtiān  few days
有时 ,yǒushí  ,sometimes,yǒushí  sometimes
米 ,mǐ  ,rice ,mǐ  rice 
总 ,zǒng  ,total ,zǒng  total 
一张 ,yīzhāng  ,one piece,yīzhāng  one piece
第一个 ,dìyīgè  ,first one,dìyīgè  first one
真相 ,zhēnxiàng  ,the truth ,zhēnxiàng  the truth 
恨 ,hèn  ,hatred ,hèn  hatred 
卡 ,kǎ  ,card ,kǎ  card 
不知 ,bùzhī  ,don't know,bùzhī  don't know
远 ,yuǎn  ,far ,yuǎn  far 
警官 ,jǐngguān  ,police officer,jǐngguān  police officer
属于 ,shǔyú  ,belong to,shǔyú  belong to
什 ,shí  ,varied ,shí  varied 
い ,い  ,い,い  い
可不是 ,kěbushì  ,no,kěbushì  no
怪 ,guài  ,strange ,guài  strange 
一名 ,yīmíng  ,one,yīmíng  one
怀疑 ,huáiyí  ,suspect ,huáiyí  suspect 
笨蛋 ,bèndàn  ,fool ,bèndàn  fool 
战斗 ,zhàndòu  ,fight,zhàndòu  fight
承认 ,chéngrèn  ,admit ,chéngrèn  admit 
馬 ,mǎ  ,horse ,mǎ  horse 
法律 ,fǎlǜ  ,law ,fǎlǜ  law 
别说 ,biéshuō  ,don't say,biéshuō  don't say
简体 ,jiǎntǐ  ,simplified,jiǎntǐ  simplified
记录 ,jìlù  ,record ,jìlù  record 
